code,title,parent_code,group_level,source_url,source_status,source_file,candidate_type
2310,Профессорско-преподавательский персонал университетов и других организаций высшего образования,231,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
232,Преподаватели средних профессиональных образовательных организаций,23,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2320,Преподаватели средних профессиональных образовательных организаций,232,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
233,Педагогические работники в средней школе,23,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2330,Педагогические работники в средней школе,233,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
234,Педагогические работники в начальном и дошкольном образовании,23,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2341,Педагогические работники в начальном образовании,234,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2342,Педагогические работники в дошкольном образовании,234,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
235,Другие специалисты в области образования,23,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2351,Специалисты по методике обучения,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2352,Преподаватели, работающие с инвалидами или лицами с особыми возможностями здоровья,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2353,Преподаватели иностранных языков на курсах и частные,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2354,Преподаватели музыки в музыкальных школах и частные,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2355,Преподаватели в области изобразительных и иных искусств,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2356,Преподаватели по обучению компьютерной грамотности,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2357,Преподаватели по программам дополнительного обучения,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2358,Тренеры и инструкторы-методисты по физкультуре и спорту,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2359,Специалисты в области образования, не входящие в другие группы,235,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
24,Специалисты в сфере бизнеса и администрирования,,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
241,Специалисты по финансовой деятельности,24,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2411,Бухгалтеры,241,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2412,Консультанты по финансовым вопросам и инвестициям,241,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2413,Финансовые аналитики,241,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2414,Оценщики и эксперты,241,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
242,Специалисты в области администрирования,24,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2421,Аналитики систем управления и организации,242,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2422,Специалисты в области политики администрирования,242,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2423,Специалисты в области подбора и использования персонала,242,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2424,Специалисты в области подготовки и развития персонала,242,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2425,Специалисты органов государственной власти,242,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
243,Специалисты по сбыту и маркетингу продукции и услуг и связям с общественностью,24,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,occupation
2431,Специалисты по рекламе и маркетингу,243,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2432,Специалисты по связям с общественностью,243,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2433,Специалисты по сбыту продукции (исключая информационно-коммуникационные технологии),243,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2434,Специалисты по сбыту информационно-коммуникационных технологий (ИКТ),243,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
25,Специалисты по информационно-коммуникационным технологиям (ИКТ),,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
251,Разработчики и аналитики программного обеспечения и приложений,25,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2511,Системные аналитики,251,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2512,Разработчики программного обеспечения,251,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2513,Разработчики Web и мультимедийных приложений,251,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2514,Программисты приложений,251,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2519,Разработчики и аналитики программного обеспечения и приложений, не входящие в другие группы,251,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
252,Специалисты по базам данных и сетям,25,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2521,Дизайнеры баз данных и администраторы,252,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2522,Системные администраторы,252,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2523,Специалисты по компьютерным сетям,252,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2529,Специалисты по базам данных и сетям, не входящие в другие группы,252,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
26,Специалисты в области права, гуманитарных областей и культуры,,major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
261,Специалисты в области права,26,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2611,Юристы,261,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2612,Судьи,261,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2613,Специалисты по патентной работе и защите авторских прав,261,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2619,Специалисты в области права, не входящие в другие группы,261,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
262,Специалисты архивов, музеев и библиотек,26,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2621,Специалисты архивов и музеев,262,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2622,Специалисты библиотек,262,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
263,Специалисты гуманитарной сферы и религии,26,sub_major_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2631,Экономисты,263,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2632,Социологи, антропологи и специалисты родственных занятий,263,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2633,Философы, историки и политологи,263,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2634,Психологи,263,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2635,Специалисты в области организации и ведения социальной работы,263,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
2636,Религиозные деятели,263,minor_group,https://classifikators.ru/okz,mirror_unofficial,okz_classifikators.xlsx,unknown
